name	P1	P2	P3	P4	P5	P6
Chondromyces crocatus	197	222	200	362	292	288
Chromobacterium sp. ATCC 53434	0	0	336	0	0	0
Chroococcidiopsis sp. CCMEE 29	0	0	0	0	85	73
Ciceribacter thiooxidans	0	0	232	0	0	0
Citricoccus sp. SGAir0253	249	0	0	0	0	0
Citrifermentans bemidjiense	330	0	288	0	288	0
Citrifermentans bremense	0	0	271	0	314	0
Clostridium argentinense	423	385	639	113	361	308
Clostridium baratii	0	0	88	0	0	0
Clostridium beijerinckii	0	0	930	0	0	0
Clostridium bornimense	0	0	0	1090	0	0
Clostridium botulinum	555	0	1529	766	0	0
Clostridium carboxidivorans	0	0	83	0	0	0
Clostridium estertheticum	0	0	107	0	0	0
Clostridium gelidum	0	0	102	0	0	0
Clostridium intestinale	0	208	0	0	0	0
Clostridium kluyveri	0	0	0	0	143	0
